
[+] General Parameters:
LETOR 4.0 dataset: No
Training data:	../data/MQ2008/Fold1/train.txt
Test data:	../data/MQ2008/Fold1/test.txt
Validation data:	../data/MQ2008/Fold1/vali.txt
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	ERR@10
Highest relevance label (to compute ERR): 4
Feature normalization: No
Model file: ../results/ranklib_ranknet_model

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 5.0E-5

Reading feature file [../data/MQ2008/Fold1/train.txt]: 0... Reading feature file [../data/MQ2008/Fold1/train.txt]... [Done.]
(471 ranked lists, 9630 entries read)
Reading feature file [../data/MQ2008/Fold1/vali.txt]: 0... Reading feature file [../data/MQ2008/Fold1/vali.txt]... [Done.]
(157 ranked lists, 2707 entries read)
Reading feature file [../data/MQ2008/Fold1/test.txt]: 0... Reading feature file [../data/MQ2008/Fold1/test.txt]... [Done.]
(156 ranked lists, 2874 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V |
        |   pairs        |           |           |
55      | 0.1082         | 0.4875    | 0.5177    |
56      | 0.1082         | 0.4873    | 0.5173    |
57      | 0.1081         | 0.4872    | 0.5173    |
58      | 0.1081         | 0.4865    | 0.5168    |
59      | 0.1079         | 0.4872    | 0.5169    |
60      | 0.1078         | 0.4877    | 0.5166    |
61      | 0.1077         | 0.4882    | 0.5166    |
62      | 0.1077         | 0.4881    | 0.5174    |
63      | 0.1076         | 0.4884    | 0.5185    |
64      | 0.1076         | 0.4884    | 0.5186    |
65      | 0.1076         | 0.4882    | 0.5192    |
66      | 0.1076         | 0.4882    | 0.5191    |
67      | 0.1077         | 0.4881    | 0.5191    |
68      | 0.1076         | 0.488     | 0.519     |
69      | 0.1076         | 0.4879    | 0.5193    |
70      | 0.1075         | 0.4883    | 0.5217    |
71      | 0.1074         | 0.4884    | 0.5208    |
72      | 0.1075         | 0.4886    | 0.5208    |
73      | 0.1074         | 0.4879    | 0.5208    |
74      | 0.1075         | 0.4875    | 0.5208    |
75      | 0.1075         | 0.4874    | 0.5205    |
76      | 0.1074         | 0.4874    | 0.5201    |
77      | 0.1074         | 0.4874    | 0.5205    |
78      | 0.1073         | 0.4871    | 0.5205    |
79      | 0.1073         | 0.4868    | 0.5207    |
80      | 0.1074         | 0.4862    | 0.5207    |
81      | 0.1074         | 0.4861    | 0.5206    |
82      | 0.1073         | 0.486     | 0.5205    |
83      | 0.1073         | 0.4857    | 0.5197    |
84      | 0.1073         | 0.4857    | 0.5205    |
85      | 0.1072         | 0.4859    | 0.5205    |
86      | 0.1072         | 0.4858    | 0.5182    |
87      | 0.1072         | 0.4856    | 0.5177    |
88      | 0.1071         | 0.4859    | 0.5177    |
89      | 0.1071         | 0.4856    | 0.5173    |
90      | 0.1071         | 0.4858    | 0.5173    |
91      | 0.1071         | 0.4856    | 0.5172    |
92      | 0.107          | 0.4856    | 0.5171    |
93      | 0.107          | 0.4854    | 0.5171    |
94      | 0.1071         | 0.485     | 0.5183    |
95      | 0.107          | 0.485     | 0.5179    |
96      | 0.1071         | 0.485     | 0.5179    |
97      | 0.107          | 0.4854    | 0.5177    |
98      | 0.1071         | 0.4853    | 0.5175    |
99      | 0.1071         | 0.4851    | 0.5175    |
100     | 0.1072         | 0.4853    | 0.5175    |
--------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.4861
NDCG@10 on validation data: 0.5289
---------------------------------
ERR@10 on test data: 0.0919

Model saved to: ../results/ranklib_ranknet_model
